Country,Year,Type,Proportion
Belgium,2019,Right,12
Belgium,2014,Right,2.67
Belgium,2019,Left,8
Belgium,2014,Left,1.33
Denmark,2019,Right,11.17
Denmark,2015,Right,20.67
Denmark,2019,Left,7.26
Denmark,2015,Left,7.82
French,2017,Right,1.73
French,2012,Right,0.35
French,2017,Left,4.68
French,2012,Left,1.21
Italy,2018,Right,24.92
Italy,2012,Right,4.29
Italy,2018,Right,24.13
Italy,2012,Right,5.71
Italy,2018,Left,0
Italy,2012,Left,0
Italy,2018,Left,0
Italy,2012,Left,0
Poland,2015,Right,9.13
Poland,2011,Right,0
Poland,2015,Left,0
Poland,2011,Left,0
Sweden,2018,Right,7.45
Sweden,2014,Right,14.04
Spain,2019,Left,14.28
Spain,2019,Right,6.8
Spain,2016,Left,16
Spain,2016,Right,0
Spain,2011,Left,6
Spain,2011,Right,0
Greece,2019,Left,33.67
Greece,2019,Right,0
Greece,2015,Left,53.33
Greece,2015,Right,6
Austria,2013,Right,20.5
Austria,2017,Right,26
Austria,2013,Left,1
Austria,2017,Left,0.8
Netherlands,2017,Left,9.1
Netherlands,2012,Left,9.7
Netherlands,2017,Right,14.9
Netherlands,2012,Right,10.1
